,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129
xiaogan,19904.84199,19502.25724,24448.88023,26648.00389,31117.64185,23768.52262,23136.67345,23206.64778,23417.72152,23474.37373,27087.54537,28199.78755,29778.65805,22825.17483,21581.21625,20979.02098,23154.81986,22241.48004,21012.65823,21423.56378,20361.15783,14978.75542,10711.91467,5740.993184,4213.198194,3329.423741,2572.718421,2520.536426,2225.502346
huanggang,15981.89785,16493.49385,19779.49898,21586.26184,24394.97212,20010.57803,19224.1303,19843.3655,20309.55121,20176.15296,19817.6507,19302.73524,22831.01708,18653.80189,17466.22997,16623.88245,18013.63194,15314.41976,20186.11136,19259.00682,19235.19518,14324.15686,10363.37081,6788.704966,5024.608303,3559.661857,3115.517394,3226.431796,2924.758786
jingzhou,6382.667965,6742.36523,9525.537753,9572.010268,10972.11649,9328.095955,9442.772417,9832.654687,11730.1496,11706.64778,10658.40489,9225.856422,10047.35771,8216.340621,8571.390635,7895.901567,8763.38851,8218.863415,7512.392671,8251.217137,9326.723909,6494.644596,4345.180136,2149.951315,1664.645481,1552.978667,1122.775958,979.9061698,998.9377711
xianning,7921.572099,7056.917766,9600.247853,11462.77773,14209.79021,11827.03373,10477.33912,10683.36727,11346.95052,11889.88227,11479.86191,11701.55794,12420.24431,9624.856157,9344.073648,9241.39152,10243.42746,9585.553687,9275.692662,8880.23369,9120.297424,6379.127202,4221.25343,2387.536514,1787.33292,1460.431973,1185.978578,1010.755068,933.433655
ezhou,8804.54988,7043.241569,11860.22838,13648.9776,15896.0786,13658.31637,12339.55918,11731.91998,12113.34868,11645.56962,12178.10038,11662.8751,12933.30088,10455.51916,9200.318669,9967.247942,10204.47907,9941.267593,10083.87182,9342.745862,8501.017969,6494.644596,4523.324776,2422.590068,1622.820218,1038.32876,897.8489865,827.4763211,820.4390546
xiangyang,4086.925732,4472.116491,6518.456227,6204.080729,7599.539701,5989.820306,6508.365053,6865.052669,7216.915995,6800.035408,6427.901213,5299.548553,6156.678764,5092.325396,5247.056741,5080.994954,5569.620253,5335.708595,4775.604143,4569.620253,4710.277065,3439.851288,2083.517748,1347.614411,1126.493759,1056.386651,808.621758,812.9591927,663.2291759
huangshi,5966.407011,5908.117199,8367.531203,9040.23192,10769.76188,8755.820129,7956.758431,8546.693813,9175.489068,8897.052315,8748.517305,7639.86014,8957.112508,7187.040807,6540.851554,6284.854386,7030.185005,6702.398867,6979.729132,6900.681597,6380.454988,4646.366292,3152.385589,1616.358325,950.8276534,670.399221,511.1976631,460.918828,386.4742852
jingmen,3380.543507,3884.040011,5453.837302,5140.524033,6407.895902,4883.420377,4740.196512,4688.811189,5322.209436,5130.565637,5585.907763,5299.548553,6113.924051,4731.167567,4690.006196,4302.027087,4654.333009,4137.514384,3691.909356,3848.101266,4334.956183,2926.440648,1734.973887,1059.3963,797.4683544,850.9781358,449.8539435,344.7818005,455.2536072
suizhou,3758.962556,3966.097194,5005.576702,4884.482606,6385.412056,4902.496238,4439.231654,4174.426839,4428.078251,4458.705851,5072.497123,4467.867575,5900.150482,4406.12552,4132.955652,3930.246968,4245.374878,3969.018323,3398.026025,3829.600779,4072.231566,2554.217934,1293.484996,743.9143135,635.7440028,519.1643799,366.2034168,259.4936709,270.2044791
yichang,3077.808268,3528.458883,5042.931752,4786.005134,6228.025139,5112.330707,4815.437727,4886.651323,5577.675489,5435.956449,5339.470656,4177.746304,4916.792069,3972.736125,3845.445694,3824.024077,4031.158715,3894.131185,3636.806232,3866.601753,4015.933434,3067.628574,2145.481101,1530.67186,1235.239444,993.1840312,853.2353722,800.2567053,761.4853501
xiantao,3531.911127,3555.811277,4725.413827,4963.264584,5463.5744,4234.841108,3987.784368,4213.994866,4300.345224,4397.627689,4887.669293,5434.938479,5493.980703,4370.009737,4043.10879,3717.801186,4206.426485,3950.296539,3985.792688,4255.111977,4278.658051,2926.440648,2060.281491,930.8666018,641.3207046,521.4216164,412.6759317,375.6306984,409.4007259
tianmen,1715.49969,1764.229441,2428.078251,2363.459325,2810.480659,2174.648137,2087.943702,2215.809507,2618.527043,2565.282818,2813.490307,2378.994423,2821.8111,2491.989024,2336.018412,2142.161636,2551.119766,2209.170576,2112.286448,2257.059396,2514.649907,1963.795698,1277.994158,564.751704,432.1943879,363.4150659,312.2952996,284.8986457,325.8829778
enshi,1677.657785,1764.229441,2652.208551,2343.763831,2495.706825,2136.496415,2332.477649,2552.137736,3001.726122,3033.54873,2464.371072,1895.458971,1859.830043,1787.731256,1671.151633,1717.270072,1694.255112,1553.908117,1451.048951,1424.537488,2364.521554,1809.772506,1549.083828,1624.148004,1480.614322,1291.139241,1020.536426,1086.969992,944.8968753
shiyan,1753.341595,1996.724794,2969.726476,2658.891741,3057.802957,2746.923962,3178.941312,3541.338408,4002.301496,3623.970966,3491.192352,2591.750022,2565.282818,2203.06276,2371.957157,2301.495972,2414.800389,2302.779499,2149.021864,2183.057449,2814.906612,2181.99522,1649.774276,1273.612463,1040.054882,724.5728955,633.8851022,578.8704966,542.046561
xinyang,1829.025405,1695.848455,2054.527751,2521.023281,3282.641409,2708.77224,2577.011596,2492.785695,2533.371692,2402.407719,2320.616093,2398.335841,3377.622378,2835.088962,2551.650881,2071.346375,1752.677702,2040.674515,2149.021864,2127.555988,1613.879791,924.139152,511.1976631,218.1110029,136.6291936,146.7203682,91.08612906,125.2102328,96.6185713
