,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126
xiaogan,25926.26361,16919.18208,32273.70098,36069.75303,28584.93405,27363.01673,30299.54855,33818.44738,39593.963,32053.99664,43498.27388,37082.1457,30694.16659,30472.95742,34370.80641,33380.54351,35799.94689,44839.07232,47456.27158,52374.25865,65930.68956,76299.19448,83374.96681,30422.36877,9787.111623,4811.100292
huanggang,19892.62636,16514.11879,27778.34823,32451.9784,25053.02293,27065.59264,30668.36328,34987.96141,39702.04479,30823.40444,39315.74754,30805.43507,29037.08949,30327.96318,34789.3246,35451.88988,40502.96539,50742.54227,40273.87802,45790.69665,64171.90405,73783.83642,69618.83686,25102.32805,9165.70771,4837.390458
jingzhou,8177.569266,8942.55112,13461.62698,14687.08507,12644.24183,13681.50837,16539.9221,19329.468,20931.84031,16818.0933,19774.98451,15801.89431,14786.22643,14112.7733,15772.90431,15933.43365,16902.36346,21464.06126,22727.8481,26812.38382,34082.41126,40088.51908,36042.04656,10399.04399,3377.445339,1784.810127
xianning,9142.338674,7384.615385,14609.89643,16792.95388,12220.4125,12541.38267,13447.55245,16080.81792,16788.70497,15294.50297,19908.82535,14645.65814,12593.78596,12010.35673,13340.26733,13171.63849,14451.09321,17539.78932,16234.17722,17470.34611,22674.07276,24839.16084,24159.51137,7713.198194,2727.272727,1513.145083
ezhou,10489.95308,6434.274586,14512.17137,16010.00266,12785.51828,12962.73347,13050.36735,13189.51934,14158.7147,12071.52341,15157.47544,13296.71594,12160.39657,10536.24856,10724.52864,10728.51199,12056.82925,14980.48154,12823.36018,12983.22564,15591.39595,17188.28007,17700.53997,6869.567142,2399.309551,1367.088608
xiangyang,5007.612641,5920.155794,8746.392848,9584.402939,8806.231743,10013.27786,12142.51571,14034.16836,14951.31451,12071.52341,13116.40258,10075.77233,9483.579711,8892.980437,8998.141099,9135.168629,10204.12499,12387.04966,12495.39701,15006.10782,21105.42622,23581.48181,20905.37311,5509.427282,1962.025316,1031.158715
huangshi,6738.072055,6029.211295,10798.6191,10259.36089,9300.699301,9195.3616,10497.03461,11597.6808,12357.35151,10020.53643,12748.34027,10296.00779,9432.592724,8917.146145,9625.918385,10197.39754,11230.23812,14366.24768,12298.6191,13608.48013,17777.99416,20227.67106,18538.7271,5784.898646,1967.779056,999.0262902
jingmen,4287.864035,4502.434275,7060.635567,7694.520669,6545.808622,6518.544746,7773.479685,8966.274232,9727.361246,8350.447021,9870.762149,7488.005665,7036.204302,6597.238205,7376.383111,7462.158095,7838.364167,10100.73471,10855.58113,13203.90369,17873.06365,21956.97973,20067.18598,5905.417367,1910.241657,925.9980526
suizhou,4471.629636,4611.489776,6914.047977,7370.540852,6004.248916,6320.262016,7234.442772,8414.003718,9547.224927,7383.553156,9067.717093,7295.299637,6806.762857,6476.409666,7376.383111,7674.603877,8493.936443,10612.59626,10527.61795,12431.53049,16827.29928,19860.84801,20461.62698,6404.709215,1789.413119,736.1246349
yichang,3522.174029,4362.220058,6840.754183,7046.561034,6051.341064,6815.968841,8199.035142,9258.65274,9979.552093,9024.342746,10841.10826,7598.123396,7036.204302,5872.266974,6146.985925,6585.819244,7125.785607,8667.522351,8822.209436,10850.00443,14498.09684,16664.24715,14199.87607,3891.033018,1605.293441,1007.789679
xiantao,4655.395238,3333.982473,6254.403824,6938.567761,5227.228468,5700.628485,6553.554041,7439.408693,8394.352483,6973.355758,9402.3192,7708.241126,6781.269364,6258.918297,7533.327432,7435.602372,7866.86731,9930.11419,10068.46951,11438.47924,15353.72223,17293.08666,16467.91184,5492.210321,1944.764097,823.75852
tianmen,2174.559618,2352.48296,3640.258476,4373.727538,3343.542533,3544.303797,4510.887846,5197.840135,5548.198637,4307.072674,5888.997079,5533.415951,4512.348411,4712.313003,5153.005223,5497.034611,5558.112773,7166.061786,7641.542002,8937.461273,10837.92157,12262.37054,11093.65318,3340.090289,1150.747986,563.7779942
enshi,1944.852616,3037.974684,3664.689741,5048.685492,4026.378685,4808.356201,5759.183854,6854.651677,8250.243427,6211.560591,6424.36045,5808.710277,4665.309374,4567.318757,4682.172258,4780.030096,4959.546782,6142.338674,5706.559264,6877.799416,8698.858104,9222.979552,7592.989289,2754.713641,1375.143843,873.4177215
shiyan,2312.383819,3037.974684,4055.58998,5075.68381,4615.030539,4907.497566,5787.554218,6074.975657,6809.152872,5918.56245,6190.138975,5175.533327,4486.854917,3987.341772,4185.181907,3983.358414,4446.490219,5630.477118,6034.52244,7245.596176,9506.948747,10795.07834,10551.2968,3374.52421,1150.747986,701.0710808
xinyang,1684.518014,1791.626095,2858.457998,2888.820041,2566.522086,2528.104807,3092.369656,3573.515093,4179.16261,3457.378065,4182.526334,3083.29645,2982.73878,3431.530495,3871.293264,4328.58281,4646.012216,4606.754005,4755.466053,5774.409135,7985.836948,9222.979552,8184.650792,2565.327078,701.9562716,309.6397274
chongqing,1301.673011,1791.626095,2516.420289,2807.825086,2684.252456,3048.596973,3517.925113,4125.785607,5259.980526,4336.372488,4015.225281,3688.943967,3390.634682,3455.696203,4028.237585,3850.5798,3762.4148,4333.761176,4230.724971,4671.018855,5941.842967,5449.942463,4930.512525,2220.987873,529.3440736,186.9522882
